1087001	-0.656254 
1087002	-0.648664 
1087003	-0.683523 
1087004	-0.757036 
1087005	-0.859768 
1087006	-0.972866 
1087007	-1.064643 
1087008	-1.098225 
1087009	-1.060367 
1087010	-0.976169 
1087011	-0.882668 
1087012	-0.806618 
1087013	-0.762496 
1087014	-0.756695 
1087015	-0.790107 
1087016	-0.857207 
1087017	-0.942119 
1087018	-1.015040 
1087019	-1.039076 
1087020	-0.997573 
1087021	-0.911478 
1087022	-0.815967 
1087023	-0.737104 
1087024	-0.688491 
1087025	-0.675574 
1087026	-0.699431 
1087027	-0.758262 
1087028	-0.846882 
1087029	-0.954256 
1087030	-1.059504 
1087031	-1.131298 
1087032	-1.141380 
1087033	-1.089761 
1087034	-1.005001 
1087035	-0.918804 
1087036	-0.852259 
1087037	-0.815994 
1087038	-0.813844 
1087039	-0.845097 
1087040	-0.903952 
1087041	-0.976312 
1087042	-1.036562 
1087043	-1.052596 
1087044	-1.008092 
1087045	-0.920130 
1087046	-0.822071 
1087047	-0.741243 
1087048	-0.693609 
1087049	-0.686318 
1087050	-0.720383 
1087051	-0.790822 
1087052	-0.884076 
1087053	-0.974648 
1087054	-1.027549 
1087055	-1.018229 
1087056	-0.956527 
1087057	-0.875069 
1087058	-0.802892 
1087059	-0.757024 
1087060	-0.745201 
1087061	-0.769576 
1087062	-0.827907 
1087063	-0.911837 
1087064	-1.002882 
1087065	-1.069763 
1087066	-1.078089 
1087067	-1.019412 
1087068	-0.920802 
1087069	-0.817501 
1087070	-0.734078 
1087071	-0.683578 
1087072	-0.671676 
1087073	-0.699401 
1087074	-0.763478 
1087075	-0.854203 
1087076	-0.951166 
1087077	-1.021429 
1087078	-1.031572 
1087079	-0.976969 
1087080	-0.887240 
1087081	-0.797946 
1087082	-0.733171 
1087083	-0.704931 
1087084	-0.717221 
1087085	-0.768430 
1087086	-0.850686 
1087087	-0.946505 
1087088	-1.025790 
1087089	-1.052590 
1087090	-1.011216 
1087091	-0.923113 
1087092	-0.824648 
1087093	-0.743846 
1087094	-0.696324 
1087095	-0.688705 
1087096	-0.721863 
1087097	-0.791809 
1087098	-0.888032 
1087099	-0.989903 
1087100	-1.064992 
1087101	-1.079970 
1087102	-1.028095 
1087103	-0.936531 
1087104	-0.840316 
1087105	-0.764386 
1087106	-0.722404 
1087107	-0.720335 
1087108	-0.758611 
1087109	-0.831464 
1087110	-0.923384 
1087111	-1.004906 
1087112	-1.036832 
1087113	-0.997549 
1087114	-0.907801 
1087115	-0.809034 
1087116	-0.734310 
1087117	-0.701806 
1087118	-0.717809 
1087119	-0.779195 
1087120	-0.872483 
1087121	-0.970535 
1087122	-1.033280 
1087123	-1.027540 
1087124	-0.959075 
1087125	-0.864921 
1087126	-0.780081 
1087127	-0.725291 
1087128	-0.709600 
1087129	-0.734983 
1087130	-0.798448 
1087131	-0.891197 
1087132	-0.995500 
1087133	-1.082445 
1087134	-1.118894 
1087135	-1.090702 
1087136	-1.016842 
1087137	-0.930351 
1087138	-0.857622 
1087139	-0.813963 
1087140	-0.806357 
1087141	-0.836190 
1087142	-0.899716 
1087143	-0.986214 
1087144	-1.075056 
1087145	-1.136481 
1087146	-1.144257 
1087147	-1.097106 
1087148	-1.020018 
1087149	-0.943315 
1087150	-0.888762 
1087151	-0.867800 
1087152	-0.884116 
1087153	-0.935482 
1087154	-1.013372 
1087155	-1.100908 
1087156	-1.172311 
1087157	-1.200186 
1087158	-1.173258 
1087159	-1.106313 
1087160	-1.026796 
1087161	-0.958277 
1087162	-0.915160 
1087163	-0.904199 
1087164	-0.926926 
1087165	-0.980269 
1087166	-1.055225 
1087167	-1.134642 
1087168	-1.193889 
1087169	-1.209557 
1087170	-1.175215 
1087171	-1.106643 
1087172	-1.028966 
1087173	-0.963569 
1087174	-0.923895 
1087175	-0.916075 
1087176	-0.939986 
1087177	-0.989044 
1087178	-1.049207 
1087179	-1.099561 
1087180	-1.118349 
1087181	-1.095133 
1087182	-1.038366 
1087183	-0.968126 
1087184	-0.904138 
1087185	-0.860094 
1087186	-0.843452 
1087187	-0.856628 
1087188	-0.897262 
1087189	-0.957124 
1087190	-1.020602 
1087191	-1.066049 
1087192	-1.074326 
1087193	-1.041864 
1087194	-0.983549 
1087195	-0.921352 
1087196	-0.873418 
1087197	-0.850492 
1087198	-0.856432 
1087199	-0.889157 
1087200	-0.940814 
1087201	-0.997816 
1087202	-1.042818 
1087203	-1.060708 
1087204	-1.046740 
1087205	-1.009058 
1087206	-0.962630 
1087207	-0.921740 
1087208	-0.896372 
1087209	-0.891580 
1087210	-0.907625 
1087211	-0.939707 
1087212	-0.977761 
1087213	-1.007832 
1087214	-1.016833 
1087215	-0.999669 
1087216	-0.962639 
1087217	-0.919232 
1087218	-0.883082 
1087219	-0.863595 
1087220	-0.864637 
1087221	-0.884741 
1087222	-0.917607 
1087223	-0.953158 
1087224	-0.979820 
1087225	-0.988565 
1087226	-0.977012 
1087227	-0.950289 
1087228	-0.917860 
1087229	-0.889327 
1087230	-0.871802 
1087231	-0.868897 
1087232	-0.880495 
1087233	-0.902574 
1087234	-0.927455 
1087235	-0.945353 
1087236	-0.947969 
1087237	-0.932754 
1087238	-0.904354 
1087239	-0.871889 
1087240	-0.844779 
1087241	-0.829817 
1087242	-0.830056 
1087243	-0.844552 
1087244	-0.868539 
1087245	-0.894146 
1087246	-0.912334 
1087247	-0.916158 
1087248	-0.904044 
1087249	-0.880533 
1087250	-0.853855 
1087251	-0.832409 
1087252	-0.822288 
1087253	-0.826127 
1087254	-0.842770 
1087255	-0.867446 
1087256	-0.892672 
1087257	-0.910290 
1087258	-0.914545 
1087259	-0.904696 
1087260	-0.885224 
1087261	-0.863481 
1087262	-0.846684 
1087263	-0.839829 
1087264	-0.844799 
1087265	-0.860289 
1087266	-0.882257 
1087267	-0.904970 
1087268	-0.922666 
1087269	-0.931545 
1087270	-0.931209 
1087271	-0.924588 
1087272	-0.916476 
1087273	-0.911614 
1087274	-0.913224 
1087275	-0.922254 
1087276	-0.937266 
1087277	-0.954789 
1087278	-0.970241 
1087279	-0.979315 
1087280	-0.979487 
1087281	-0.970984 
1087282	-0.956609 
1087283	-0.940617 
1087284	-0.927344 
1087285	-0.920136 
1087286	-0.920795 
1087287	-0.929359 
1087288	-0.944162 
1087289	-0.962122 
1087290	-0.979330 
1087291	-0.991951 
1087292	-0.997299 
1087293	-0.994634 
1087294	-0.985276 
1087295	-0.971980 
1087296	-0.957969 
1087297	-0.946043 
1087298	-0.938042 
1087299	-0.934645 
1087300	-0.935435 
1087301	-0.939165 
1087302	-0.944106 
1087303	-0.948480 
1087304	-0.950851 
1087305	-0.950465 
1087306	-0.947424 
1087307	-0.942648 
1087308	-0.937634 
1087309	-0.934083 
1087310	-0.933459 
1087311	-0.936577 
1087312	-0.943240 
1087313	-0.952032 
1087314	-0.960416 
1087315	-0.965298 
1087316	-0.964036 
1087317	-0.955540 
1087318	-0.940889 
1087319	-0.923076 
1087320	-0.906033 
1087321	-0.893434 
1087322	-0.887721 
1087323	-0.889595 
1087324	-0.897902 
1087325	-0.909929 
1087326	-0.922038 
1087327	-0.930571 
1087328	-0.932853 
1087329	-0.927984 
1087330	-0.917075 
1087331	-0.902821 
1087332	-0.888699 
1087333	-0.878069 
1087334	-0.873468 
