-1.691500,4.695874
-1.674500,4.528234
-1.657500,4.604924
-1.640500,4.611169
-1.623500,4.550801
-1.606500,4.686079
-1.589500,4.664522
-1.572500,4.612044
-1.555500,4.564083
-1.538500,4.583808
-1.521500,4.631691
-1.504500,4.664563
-1.487500,4.532059
-1.470500,4.591480
-1.453500,4.739323
-1.436500,4.707193
-1.419500,4.842259
-1.402500,4.783716
-1.385500,4.727105
-1.368500,4.839799
-1.351500,4.730433
-1.334500,4.850817
-1.317500,4.825954
-1.300500,4.878908
-1.283500,4.822628
-1.266500,4.893979
-1.249500,4.922957
-1.232500,4.943196
-1.215500,4.959285
-1.198500,4.999420
-1.181500,5.026111
-1.164500,5.079602
-1.147500,5.205022
-1.130500,5.321164
-1.113500,5.293576
-1.096500,5.362230
-1.079500,5.458053
-1.062500,5.599316
-1.045500,5.634354
-1.028500,5.609813
-1.011500,5.774232
-0.994500,5.963611
-0.977500,6.154891
-0.960500,6.328300
-0.943500,6.341494
-0.926500,6.483929
-0.909500,6.534852
-0.892500,6.696892
-0.875500,6.767943
-0.858500,6.844302
-0.841500,7.060987
-0.824500,7.236122
-0.807500,7.295598
-0.790500,7.382386
-0.773500,7.542068
-0.756500,7.709431
-0.739500,7.872472
-0.722500,7.923670
-0.705500,8.035222
-0.688500,8.093150
-0.671500,8.239504
-0.654500,8.471098
-0.637500,8.481226
-0.620500,8.591975
-0.603500,8.708734
-0.586500,8.888686
-0.569500,9.047553
-0.552500,9.275887
-0.535500,9.430985
-0.518500,9.451878
-0.501500,9.722743
-0.484500,9.828346
-0.467500,10.026227
-0.450500,10.232775
-0.433500,10.331855
-0.416500,10.432227
-0.399500,10.674695
-0.382500,10.780678
-0.365500,11.035832
-0.348500,11.180193
-0.331500,11.407810
-0.314500,11.536657
-0.297500,11.660352
-0.280500,11.892709
-0.263500,12.184646
-0.246500,12.216223
-0.229500,12.500854
-0.212500,12.619741
-0.195500,12.705914
-0.178500,12.849806
-0.161500,12.824316
-0.144500,12.856749
-0.127500,12.826465
-0.110500,12.922311
-0.093500,13.080909
-0.076500,13.253344
-0.059500,13.128890
-0.042500,13.325586
-0.025500,13.352328
-0.008500,13.340792
0.008500,13.512200
0.025500,13.577327
0.042500,13.684815
0.059500,13.690860
0.076500,13.817641
0.093500,13.897272
0.110500,13.941606
0.127500,13.869784
0.144500,13.929607
0.161500,14.185308
0.178500,14.191437
0.195500,14.372226
0.212500,14.303130
0.229500,14.373325
0.246500,14.258560
0.263500,14.361792
0.280500,14.402514
0.297500,14.432122
0.314500,14.224073
0.331500,14.220069
0.348500,14.078663
0.365500,14.103176
0.382500,14.188818
0.399500,14.159765
0.416500,14.075268
0.433500,14.001139
0.450500,13.997144
0.467500,14.014920
0.484500,13.961460
0.501500,14.043542
0.518500,13.974402
0.535500,14.063240
0.552500,14.052958
0.569500,14.100153
0.586500,14.072867
0.603500,13.945345
0.620500,13.874854
0.637500,13.882544
0.654500,13.689256
0.671500,13.708513
0.688500,13.770407
0.705500,13.824547
0.722500,13.501625
0.739500,13.550453
0.756500,13.773472
0.773500,13.771398
0.790500,13.734074
0.807500,13.550115
0.824500,13.372386
0.841500,13.426759
0.858500,13.404335
0.875500,13.237974
0.892500,13.237879
0.909500,13.068286
0.926500,12.895762
0.943500,12.736932
0.960500,12.613536
0.977500,12.512656
0.994500,12.436020
1.011500,12.321999
1.028500,12.264910
1.045500,12.234574
1.062500,12.044126
1.079500,11.898188
1.096500,11.898490
1.113500,11.886779
1.130500,11.854541
1.147500,11.582632
1.164500,11.433588
1.181500,11.318980
1.198500,11.050457
1.215500,10.946451
1.232500,11.035998
1.249500,10.893413
1.266500,10.854281
1.283500,10.704941
1.300500,10.458397
1.317500,10.351984
1.334500,10.418063
1.351500,10.320482
1.368500,10.272301
1.385500,10.242576
1.402500,10.270623
1.419500,10.091434
1.436500,9.831324
1.453500,9.661063
1.470500,9.568536
