       0    14.827 
     100    15.028 
     200    15.258 
     300    15.356 
     400    15.157 
     500    15.124 
     600    15.096 
     700    15.114 
     800    15.314 
     900    15.140 
    1000    15.176 
    1100    15.138 
    1200    15.061 
    1300    14.886 
    1400    14.842 
    1500    14.960 
    1600    15.098 
    1700    15.330 
    1800    15.251 
    1900    15.226 
    2000    15.126 
    2100    15.279 
    2200    15.314 
    2300    15.432 
    2400    15.607 
    2500    15.212 
    2600    15.213 
    2700    14.967 
    2800    15.001 
    2900    15.286 
    3000    15.131 
    3100    15.334 
    3200    15.248 
    3300    15.410 
    3400    15.197 
    3500    15.139 
    3600    15.289 
    3700    15.357 
    3800    15.223 
    3900    15.357 
    4000    15.114 
    4100    15.149 
    4200    15.245 
    4300    15.270 
    4400    15.495 
    4500    15.561 
    4600    15.431 
    4700    15.401 
    4800    15.281 
    4900    15.317 
    5000    15.245 
    5100    15.153 
    5200    15.371 
    5300    15.386 
    5400    15.181 
    5500    15.146 
    5600    15.282 
    5700    15.253 
    5800    15.172 
    5900    15.263 
    6000    15.315 
    6100    15.369 
    6200    15.189 
    6300    15.501 
    6400    15.118 
    6500    14.997 
    6600    15.143 
    6700    15.319 
    6800    15.310 
    6900    15.261 
    7000    15.328 
    7100    15.345 
    7200    15.379 
    7300    15.587 
    7400    15.390 
    7500    15.286 
    7600    15.150 
    7700    15.305 
    7800    15.382 
    7900    15.336 
    8000    15.499 
    8100    15.493 
    8200    15.387 
    8300    15.196 
    8400    15.251 
    8500    15.310 
    8600    15.270 
    8700    15.411 
    8800    15.387 
    8900    15.419 
    9000    15.457 
    9100    15.144 
    9200    15.225 
    9300    15.290 
    9400    15.238 
    9500    15.207 
    9600    15.370 
    9700    15.448 
    9800    15.250 
    9900    15.131 
   10000    15.389 
   10100    15.336 
   10200    15.522 
   10300    15.512 
   10400    15.376 
   10500    15.502 
   10600    15.407 
   10700    15.374 
   10800    15.374 
   10900    15.264 
   11000    15.570 
   11100    15.693 
   11200    15.517 
   11300    15.547 
   11400    15.417 
   11500    15.427 
   11600    15.321 
   11700    15.596 
   11800    15.480 
   11900    15.366 
   12000    15.493 
   12100    15.213 
   12200    15.246 
   12300    15.256 
   12400    15.437 
   12500    15.489 
   12600    15.407 
   12700    15.325 
   12800    15.381 
   12900    15.349 
   13000    15.363 
   13100    15.663 
   13200    15.560 
   13300    15.446 
   13400    15.301 
   13500    15.507 
   13600    15.543 
   13700    15.504 
   13800    15.218 
   13900    15.230 
   14000    15.360 
   14100    15.409 
   14200    15.222 
   14300    15.238 
   14400    15.372 
   14500    15.217 
   14600    15.246 
   14700    15.288 
   14800    15.367 
   14900    15.342 
   15000    15.397 
   15100    15.661 
   15200    15.750 
   15300    15.645 
   15400    15.413 
   15500    15.465 
   15600    15.463 
   15700    15.352 
   15800    15.432 
   15900    15.482 
   16000    15.482 
   16100    15.441 
   16200    15.335 
   16300    15.245 
   16400    15.583 
   16500    15.543 
   16600    15.210 
   16700    15.204 
   16800    15.262 
   16900    15.412 
   17000    15.519 
   17100    15.459 
   17200    15.162 
   17300    15.242 
   17400    15.248 
   17500    15.349 
   17600    15.265 
   17700    15.439 
   17800    15.421 
   17900    15.269 
   18000    15.481 
   18100    15.517 
   18200    15.484 
   18300    15.064 
   18400    14.898 
   18500    15.234 
   18600    15.164 
   18700    15.230 
   18800    15.052 
   18900    15.210 
   19000    15.210 
   19100    15.186 
   19200    15.233 
   19300    15.176 
   19400    15.293 
   19500    15.260 
   19600    15.114 
   19700    15.036 
   19800    15.046 
   19900    14.757 
   20000    15.001 
   20100    15.123 
   20200    15.503 
   20300    15.549 
   20400    15.362 
   20500    15.317 
   20600    15.246 
   20700    15.227 
